Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake
-17.699,167.752,6.0,1974,5,26,1,32,1
-17.616,167.491,6.2,1974,5,26,15,24,1
27.2259999999999,-111.238,6.3,1974,5,31,14,4,1
-15.847,-175.101,6.0,1974,6,4,4,14,1
-15.443,-175.315,6.0,1974,6,7,6,47,1
10.563,-63.381999999999906,6.1,1974,6,12,16,25,1
-33.4159999999999,56.875,6.6,1974,6,19,2,55,1
-55.832999999999906,-27.451,6.0,1974,6,24,20,34,1
-54.642,-131.616,6.1,1974,6,25,5,5,1
-26.09,84.28,6.6,1974,6,25,17,22,1
-4.718,152.505,6.1,1974,6,27,7,46,1
-29.082,-175.954,7.2,1974,7,2,23,26,1
-29.122,-176.11,6.6,1974,7,3,23,25,1
45.136,94.034,6.7,1974,7,4,19,30,1
36.414,141.104,6.0,1974,7,8,5,45,1
7.747,-77.688,7.3,1974,7,13,1,18,1
46.122,153.092,6.2,1974,7,29,7,16,1
36.353,70.763,6.5,1974,7,30,5,12,1
56.589799999999904,-152.349999999999,6.1,1974,8,1,5,8,1
56.589799999999904,-152.22,6.3,1974,8,1,5,55,1
56.509999999999906,-152.43,6.0,1974,8,1,7,59,1
24.5719999999999,122.687,6.0,1974,8,8,19,16,1
39.457,73.8299999999999,7.3,1974,8,11,1,13,1
39.469,73.629,6.1,1974,8,11,21,21,1
-38.453,-73.4309999999999,7.1,1974,8,18,10,44,1
-9.815,108.355999999999,6.5,1974,9,7,20,43,1
-23.7079999999999,-175.978,6.3,1974,9,21,12,40,1
-0.278,12.917,6.2,1974,9,23,19,28,1
33.6019999999999,141.127999999999,6.1,1974,9,27,3,10,1
43.176,146.651,6.7,1974,9,27,5,47,1
-12.265,-77.795,7.6,1974,10,3,14,21,1
-58.29899999999991,-27.3709999999999,6.0,1974,10,7,21,52,1
17.3,-62.0,7.5,1974,10,8,9,50,1
44.723999999999904,150.119,6.4,1974,10,9,7,32,1
40.96,143.128999999999,6.2,1974,10,10,6,48,1
40.929,143.111999999999,6.2,1974,10,10,6,56,1
-4.139,102.827,6.0,1974,10,10,21,32,1
-60.747999999999905,153.931,6.1,1974,10,11,8,33,1
40.506,143.574999999999,6.0,1974,10,12,6,14,1
52.636,-32.07,6.9,1974,10,16,5,45,1
-17.9089999999999,-178.611999999999,6.0,1974,10,21,4,12,1
